state,district,enrol_total,demo_total,bio_total,total_activity,activity_tier,child_ratio,demographic_profile
100000,100000,21.8,0.2,0.0,22.0,Low_Activity,0.004545454545454545,Low_Child
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,3.4545454545454546,35.95454545454545,82.4090909090909,121.81818181818181,Medium_Low,0.4205223880597015,High_Child
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,5.739130434782608,87.43478260869566,277.7826086956522,370.95652173913044,Medium_Low,0.4716361931551805,High_Child
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,13.173913043478262,193.2173913043478,543.304347826087,749.695652173913,Medium_Low,0.4513715710723192,High_Child
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,101.73913043478261,962.2173913043479,2620.7391304347825,3684.695652173913,Medium_High,0.46257138811535375,High_Child
ANDHRA PRADESH,ANAKAPALLI,108.17391304347827,1770.695652173913,3727.0,5605.869565217391,Medium_High,0.5047892348857952,Very_High_Child
ANDHRA PRADESH,ANANTAPUR,289.2916666666667,4873.083333333333,8296.583333333334,13458.958333333334,High_Activity,0.49827097812795074,High_Child
ANDHRA PRADESH,ANNAMAYYA,95.91304347826087,2775.1739130434785,2619.0,5490.08695652174,Medium_High,0.42993696147997973,High_Child
ANDHRA PRADESH,BAPATLA,125.6086956521739,2281.391304347826,3660.608695652174,6067.608695652174,Medium_High,0.46416824907742466,High_Child
ANDHRA PRADESH,CHITTOOR,227.52173913043478,5411.608695652174,6740.04347826087,12379.17391304348,High_Activity,0.4551929783893707,High_Child
ANDHRA PRADESH,EAST GODAVARI,105.8695652173913,3047.695652173913,3854.5652173913045,7008.130434782609,High_Activity,0.43895599521053186,High_Child
ANDHRA PRADESH,ELURU,149.79166666666666,2232.4166666666665,4581.791666666667,6964.0,High_Activity,0.4590572946582424,High_Child
ANDHRA PRADESH,GUNTUR,195.375,4981.833333333333,5754.916666666667,10932.125,High_Activity,0.4069962000373517,High_Child
ANDHRA PRADESH,KAKINADA,139.6086956521739,2637.1304347826085,4462.434782608696,7239.173913043478,High_Activity,0.4875406153716795,High_Child
ANDHRA PRADESH,KONASEEMA,119.91666666666667,2216.7916666666665,4256.375,6593.083333333333,Medium_High,0.5094859511862179,Very_High_Child
ANDHRA PRADESH,KRISHNA,112.83333333333333,2238.75,3772.125,6123.708333333334,Medium_High,0.4450462342398737,High_Child
ANDHRA PRADESH,KURNOOL,302.3333333333333,5251.708333333333,8631.458333333334,14185.5,High_Activity,0.5034013605442177,Very_High_Child
ANDHRA PRADESH,NANDYAL,230.43478260869566,3366.8260869565215,6479.217391304348,10076.478260869564,High_Activity,0.5207219568603593,Very_High_Child
ANDHRA PRADESH,NTR,166.75,3535.9166666666665,5164.5,8867.166666666666,High_Activity,0.42854256338928254,High_Child
ANDHRA PRADESH,PALNADU,213.08695652173913,2943.521739130435,5694.608695652174,8851.217391304348,High_Activity,0.4854306457475759,High_Child
ANDHRA PRADESH,PARVATHIPURAM MANYAM,74.73913043478261,1700.391304347826,3288.1739130434785,5063.304347826087,Medium_High,0.4536734904169815,High_Child
ANDHRA PRADESH,PRAKASAM,270.5416666666667,4149.333333333333,7101.0,11520.875,High_Activity,0.460667411691097,High_Child
ANDHRA PRADESH,SPSR NELLORE,298.0,2914.88,5234.08,8446.96,High_Activity,0.4612357581899287,High_Child
ANDHRA PRADESH,SRI SATHYA SAI,156.1304347826087,2602.608695652174,4286.521739130435,7045.260869565218,High_Activity,0.49070297023592796,High_Child
ANDHRA PRADESH,SRIKAKULAM,172.69565217391303,5451.478260869565,7581.95652173913,13206.130434782608,High_Activity,0.45994778446110335,High_Child
ANDHRA PRADESH,TIRUPATI,185.95833333333334,2254.2916666666665,3652.9583333333335,6093.208333333334,Medium_High,0.4562867126650574,High_Child
ANDHRA PRADESH,VISAKHAPATANAM,236.16666666666666,5119.875,8457.0,13813.041666666668,High_Activity,0.4322424761623224,High_Child
ANDHRA PRADESH,VIZIANAGARAM,120.29166666666667,2470.8333333333335,4677.208333333333,7268.333333333333,High_Activity,0.48158679202017884,High_Child
ANDHRA PRADESH,WEST GODAVARI,166.70833333333334,4374.208333333333,6188.25,10729.166666666666,High_Activity,0.438252427184466,High_Child
ANDHRA PRADESH,Y.S.R.,300.0416666666667,5023.458333333333,7577.875,12901.375,High_Activity,0.4698497899125739,High_Child
ARUNACHAL PRADESH,ANJAW,1.6818181818181819,34.54545454545455,53.22727272727273,89.45454545454545,Low_Activity,0.4253048780487805,High_Child
ARUNACHAL PRADESH,CHANGLANG,20.416666666666668,182.29166666666666,265.875,468.5833333333333,Medium_Low,0.4738573715098702,High_Child
ARUNACHAL PRADESH,DIBANG VALLEY,4.958333333333333,54.875,113.29166666666667,173.125,Medium_Low,0.48543922984356197,High_Child
ARUNACHAL PRADESH,EAST KAMENG,7.375,58.458333333333336,182.5,248.33333333333334,Medium_Low,0.5419463087248322,Very_High_Child
ARUNACHAL PRADESH,EAST SIANG,8.083333333333334,126.875,167.66666666666666,302.625,Medium_Low,0.47762632520996834,High_Child
ARUNACHAL PRADESH,KURUNG KUMEY,6.5,35.416666666666664,193.0,234.91666666666666,Medium_Low,0.426924441291238,High_Child
ARUNACHAL PRADESH,LEPARADA,1.7083333333333333,35.833333333333336,51.291666666666664,88.83333333333334,Low_Activity,0.48545966228893056,High_Child
ARUNACHAL PRADESH,LOHIT,4.434782608695652,50.08695652173913,92.73913043478261,147.26086956521738,Medium_Low,0.44434602893416003,High_Child
ARUNACHAL PRADESH,LONGDING,38.56521739130435,54.608695652173914,85.47826086956522,178.6521739130435,Medium_Low,0.5490386955463616,Very_High_Child
ARUNACHAL PRADESH,LOWER SIANG,1.7272727272727273,36.18181818181818,33.5,71.4090909090909,Low_Activity,0.4392106938255888,High_Child
ARUNACHAL PRADESH,LOWER SUBANSIRI,4.6521739130434785,67.1304347826087,118.21739130434783,190.0,Medium_Low,0.4299771167048055,High_Child
ARUNACHAL PRADESH,NAMSAI,22.91304347826087,179.69565217391303,415.7826086956522,618.3913043478261,Medium_Low,0.4349293398017296,High_Child
ARUNACHAL PRADESH,PAKKE KESSANG,0.7894736842105263,8.789473684210526,13.31578947368421,22.89473684210526,Low_Activity,0.39080459770114945,High_Child
ARUNACHAL PRADESH,PAPUM PARE,18.541666666666668,204.08333333333334,384.0833333333333,606.7083333333333,Medium_Low,0.4121282878923151,High_Child
ARUNACHAL PRADESH,SHI YOMI,1.6666666666666667,11.333333333333334,25.142857142857142,38.14285714285714,Low_Activity,0.352059925093633,High_Child
ARUNACHAL PRADESH,TAWANG,6.416666666666667,39.625,102.66666666666667,148.70833333333334,Medium_Low,0.6225833566825442,Very_High_Child
ARUNACHAL PRADESH,TIRAP,3.8181818181818183,37.68181818181818,84.72727272727273,126.22727272727273,Medium_Low,0.5826431400792221,Very_High_Child
ARUNACHAL PRADESH,UPPER SIANG,1.3478260869565217,30.608695652173914,61.91304347826087,93.86956521739131,Medium_Low,0.5312644742936544,Very_High_Child
ARUNACHAL PRADESH,UPPER SUBANSIRI,6.5,70.4090909090909,189.36363636363637,266.27272727272725,Medium_Low,0.501877773984295,Very_High_Child
ARUNACHAL PRADESH,WEST KAMENG,11.291666666666666,74.91666666666667,246.25,332.45833333333337,Medium_Low,0.4258679032460208,High_Child
ARUNACHAL PRADESH,WEST SIANG,9.166666666666666,102.375,152.625,264.1666666666667,Medium_Low,0.5170347003154574,Very_High_Child
ASSAM,BAJALI,22.217391304347824,186.1304347826087,216.95652173913044,425.30434782608694,Medium_Low,0.4594152525046003,High_Child
ASSAM,BAKSA,158.96,768.92,657.0,1584.88,Medium_Low,0.3892534450557771,High_Child
ASSAM,BARPETA,562.3333333333334,2423.625,3968.6666666666665,6954.625,High_Activity,0.5031004547333608,Very_High_Child
ASSAM,BISWANATH,106.43478260869566,805.1304347826087,674.3478260869565,1585.913043478261,Medium_Low,0.33912709726943746,Medium_Child
ASSAM,BONGAIGAON,102.2,1485.64,1321.88,2909.7200000000003,Medium_High,0.3738916459315673,High_Child
ASSAM,CACHAR,694.0833333333334,2387.3333333333335,2721.0833333333335,5802.5,Medium_High,0.4457417779692661,High_Child
